Unnamed: 0,FINANCIAL PLAN,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,Annual Budget,,,Year Ending,2025-12-31 00:00:00
,,,,,
,SUMMARY,BUDGET,ACTUAL,UNDER/OVER,
,Total Income,3750,0,3750,
,Total Expenses,600,0,600,
,Difference,3150,0,3150,
,,,,,
,INCOME,BUDGET,ACTUAL,UNDER/OVER,Comments
,OPERATING INCOME,,,,
,Membership revenue,1250,,-1250,
,Event Registrations,0,,0,
,Professional Development Days,0,,0,
,Study Groups,0,,0,
,Career Centre,0,,0,
,Merchandise Sales,0,,0,
,Donations,0,,0,
,Sponsorship,2500,,-2500,
,Interest,0,,0,
,Other,0,,0,
,,,,,
,TOTAL INCOME,3750,0,-3750,0
,,,,,
,EXPENSES,BUDGET,ACTUAL,UNDER/OVER,Comments
,OPERATING EXPENSES,,,,
,Office Supplies,300,,300,
,Event Food & Beverage,,,0,
,Rental Space,,,0,
,Merchandise expenses,,,0,
,Accounting Fees,,,0,
,PayPal fees,,,0,
,Banking Fees,,,0,
,Postal fees,,,0,
,Software fees,,,0,
,Marketing,300,,300,
,,,,,
,TOTAL EXPENSES,600,0,600,
,,,,,
,TOTAL,3150,0,-4350,
